full_name,da_p,e_p,sini_p,MeanLib,LibRange,albedo,W1Alb,W2Alb,g_mag-mean,(b - v),(u - g),(g - r),(r - i),(i - z),(Y - J),(J - Ks),(H - Ks),L,GreaterClan,Clan,SubClan,tax_c,Tax_ref
137879 (2000 AJ114),0.0787,0.0444,0.2373,62.8851857352487,33.649042822112996,0.06,?,?,?,0.870000000000001,1.56,0.66,0.210000000000001,0.190000000000001,?,?,?,4,GreaterAjax,-,EurybatesSub,,
160135 (2000 YB131),0.0529,0.0903,0.3194,61.5334072433673,24.6737732196277,?,?,?,?,0.843333333333334,1.42666666666667,0.629999999999999,0.276666666666666,0.126666666666666,?,?,?,4,-,Halaesus,-,,
160534 (1996 TA58),0.0475,0.1236,0.2011,62.329111615872094,19.4397177506738,0.048,?,?,?,0.774999999999999,1.455,0.57,0.294999999999998,0.195000000000002,?,?,?,4,GreaterAchilles,Achilles,-,,
160679 (2000 DB6),0.0716,0.0459,0.2299,62.689608455509386,32.9885634591884,0.069,?,?,?,?,?,?,?,?,0.1997805,0.5829775,?,4,-,-,-,,
161017 (2002 EP106),0.119,0.0292,0.1551,66.4124729970804,48.5132728805069,0.105,?,?,?,0.73,1.7,0.510000000000002,0.139999999999997,0.080000000000002,?,?,?,4,GreaterDiomedes,-,-,C,Hasselmann2012
161020 (2002 EK158),0.0452,0.0264,0.0204,61.46636563794029,21.6318098848094,?,?,?,?,0.759999999999999,1.32333333333333,0.543333333333333,0.22,0.150000000000001,?,?,?,4,GreaterOdysseus,Odysseus,-,,
161024 (2002 FM7),0.04,0.0465,0.3637,59.5122687722766,15.867056699597098,?,?,?,?,0.790000000000003,1.66,0.579999999999998,0.309999999999999,0.240000000000002,?,?,?,4,-,1998WR10,-,,
161027 (2002 FM38),0.0431,0.0676,0.1173,61.561697984826004,20.8617318000762,?,?,?,?,0.73,1.39,0.52,0.190000000000001,0.059999999999999,?,?,?,4,GreaterOdysseus,Odysseus,-,,
161044 (2002 GG181),0.0521,0.0217,0.225,61.4264200602899,24.466625346522196,0.109,?,?,?,0.77,1.51,0.560000000000002,0.25,0.039999999999999,?,?,?,4,GreaterOdysseus,Odysseus,-,,
162811 (2001 AG51),0.0688,0.0076,0.08199999999999999,62.43215805386,29.450965728644398,?,?,?,?,0.75,1.41,0.539999999999999,0.18,0.080000000000002,?,?,?,4,GreaterTelamon,-,-,,
162822 (2001 BD49),0.0461,0.0292,0.4016,60.431076712407595,23.7920244962563,0.061,?,?,?,0.84,1.63,0.619999999999997,0.270000000000003,0.189999999999998,?,?,?,4,-,1998WR10,-,D,Hasselmann2012
162861 (2001 DY103),0.0029,0.1185,0.463,59.67757596390571,4.70271201497403,0.063,?,?,?,0.850000000000001,0.93,0.630000000000003,0.329999999999998,-0.009999999999998,?,?,?,4,GreaterAchilles,1991EL,-,,
163155 (2002 CL130),0.0604,0.0245,0.0726,62.305668261744785,27.891131367378698,0.105,?,?,?,0.77,1.515,0.560000000000001,0.179999999999998,0.120000000000001,?,?,?,4,GreaterTelamon,Kalchas,-,,
163702 (2003 FR72),0.1024,0.0473,0.3242,63.8813337397182,42.6939648138435,0.127,?,?,?,0.729999999999997,1.39,0.510000000000002,0.189999999999998,0.16,?,?,?,4,GreaterHektor,Hektor,-,,
166148 (2002 EU14),0.0116,0.1075,0.4342,59.953153539499205,4.14359717113072,0.039,?,?,?,0.725000000000001,1.4,0.505000000000001,0.24,0.105,?,?,?,4,GreaterAchilles,1991EL,-,,
166285 (2002 GY127),0.0884,0.0424,0.0972,64.569242721338,39.2803211478439,?,?,?,?,0.630000000000003,1.52,0.420000000000002,0.18,0.009999999999998,?,?,?,4,GreaterDiomedes,Philoctetes,-,,
168033 (2005 JJ143),0.047,0.1195,0.0801,62.638536789985295,18.397543931183602,0.072,?,?,?,0.689999999999998,1.63,0.48,0.190000000000001,0.07,?,?,?,4,GreaterNestor,Nestor,-,,
168364 (1996 TZ19),0.0247,0.0847,0.17800000000000002,60.78989436811421,10.120439288641,?,?,?,?,0.790000000000001,1.25,0.574999999999999,0.185000000000001,0.045,?,?,?,4,GreaterAchilles,Epeios,-,,
173086 Nireus (2007 RS8),0.0977,0.0506,0.3159,65.6194595841352,47.41106724192571,0.073,?,?,?,?,?,?,?,?,0.401215666666,0.426175666667,?,4,GreaterHektor,Thersites,-,,
190268 (2007 XU3),0.0588,0.0806,0.3193,62.16606189714111,28.445281453826603,0.057,?,?,?,?,?,?,?,?,0.22688725,0.4842285,?,4,-,Halaesus,-,,
195104 (2002 CN130),0.0532,0.0439,0.5336,59.308364252732716,27.024016661937104,?,?,?,?,?,?,?,?,?,0.3966125,0.7239055,?,4,-,-,-,,
200023 (2007 OU6),0.101,0.0693,0.269,65.5969345553485,45.459228681964206,0.094,?,?,?,?,?,?,?,?,0.450225,0.5080055,?,4,GreaterHektor,Thersites,-,,
202752 (2007 PX30),0.0797,0.1263,0.3457,63.55735624875821,33.5686548453646,0.08,?,?,?,?,?,?,?,?,0.446972,0.351243,?,4,GreaterNestor,-,-,,
204911 (2008 QE5),0.0584,0.0528,0.2534,62.063590765764395,28.317035356307894,0.07,?,?,?,?,?,?,?,?,0.265557,0.522048,?,4,GreaterTelamon,Theoklymenos,MakhaonSub,,
207749 (2007 RC286),0.0963,0.0664,0.4316,64.22997582328239,45.25787756173101,0.07,?,?,?,?,?,?,?,?,0.469093,0.711586,?,4,GreaterAjax,Ajax,2002cq134Sub,,
224020 (2005 JL160),0.114,0.0316,0.4805,65.7504096908296,54.7960526275661,?,?,?,?,?,?,?,?,?,0.436203,0.5057065,?,4,GreaterHektor,Hektor,-,,
226027 (2002 EK127),0.0239,0.0477,0.5261,58.0958757460993,14.422886699398804,0.102,?,?,?,?,?,?,?,?,0.37215675,0.7617675,?,4,-,Stentor,-,,
233925 (2009 UL2),0.0594,0.1067,0.2542,62.758373817674894,26.9508998868075,0.08,?,?,?,?,?,?,?,?,0.4557955,0.956392,?,4,GreaterNestor,Eurymedon,-,,
243484 (2009 TA23),0.0649,0.0324,0.2205,61.610649014535,25.7606468616202,0.071,?,?,?,?,?,?,?,?,0.24787,0.469065,?,4,GreaterTelamon,Theoklymenos,-,,
246147 (2007 PM16),0.0399,0.0645,0.3214,60.4473963873394,19.840964721968106,0.085,?,?,?,?,?,?,?,?,0.279140666667,1.208683333333,?,4,-,-,-,,
252173 (2001 DL10),0.0069,0.0746,0.2206,60.4231581717525,6.153813066444781,?,?,?,?,?,?,?,?,?,0.034162999999999,0.705307,?,4,-,Ulysses,-,,
254669 (2005 LO19),0.0584,0.0365,0.2865,61.5913580951324,28.365939432088105,0.063,?,?,?,?,?,?,?,?,0.378336,0.433637,?,4,-,-,-,,
254679 (2005 LU50),0.0333,0.0768,0.2201,61.1779867960375,17.3841426746691,?,?,?,?,?,?,?,?,?,0.643175,0.788059,-0.158566,4,-,Halitherses,-,,
257405 (2009 SG330),0.0327,0.0971,0.3686,61.0402449388653,19.270248584809803,?,?,?,?,?,?,?,?,?,0.423583,0.5770775,?,4,-,Halaesus,-,,
264154 (2009 VA107),0.0791,0.0108,0.3238,62.2261864881279,33.1854466744632,0.063,?,?,?,?,?,?,?,?,0.323023,0.753758,?,4,-,Polypoites,-,,
264155 (2009 VJ109),0.1101,0.0649,0.3492,66.442615734791,51.4854745903392,0.039,?,?,?,?,?,?,?,?,0.294017666666,1.004185,?,4,GreaterHektor,Thersites,-,,
266869 (2009 UZ151),0.0907,0.0895,0.3425,64.73750820155,42.4623306789974,0.083,?,?,?,?,?,?,?,?,0.4152945,0.801517,?,4,GreaterHektor,Thersites,-,,
275007 (2009 TW40),0.0758,0.0651,0.3696,62.302027209467404,32.8377986011895,0.066,?,?,?,?,?,?,?,?,0.612676,1.077039,?,4,-,-,-,,
280072 (2002 CL218),0.0215,0.0525,0.4547,57.94948783395821,8.85475421665487,?,?,?,?,?,?,?,?,?,0.2706505,1.3207415,?,4,-,Stentor,-,,
310027 (2010 AH95),0.0096,0.0638,0.2467,60.1740072180525,8.42854133491444,0.109,?,?,?,?,?,?,?,?,0.3214155,0.7134515,?,4,-,Ulysses,-,,
