,n,da_p-range,e_p-range,sini_p-range,MeanLib-range,LibRange-range,albedo-range,W1Alb-range,W2Alb-range,g_mag-mean-range,(b - v)-range,(u - g)-range,(g - r)-range,(r - i)-range,(i - z)-range,(Y - J)-range,(J - Ks)-range,(H - Ks)-range,da_p-min,e_p-min,sini_p-min,MeanLib-min,LibRange-min,albedo-min,W1Alb-min,W2Alb-min,g_mag-mean-min,(b - v)-min,(u - g)-min,(g - r)-min,(r - i)-min,(i - z)-min,(Y - J)-min,(J - Ks)-min,(H - Ks)-min,da_p-max,e_p-max,sini_p-max,MeanLib-max,LibRange-max,albedo-max,W1Alb-max,W2Alb-max,g_mag-mean-max,(b - v)-max,(u - g)-max,(g - r)-max,(r - i)-max,(i - z)-max,(Y - J)-max,(J - Ks)-max,(H - Ks)-max
PhereclosSub,12,0.03-0.05,0.03-0.09,0.01-0.22,298.63-299.8,7.68-22.3,0.04-0.13,0.13-0.2,0.08-0.2,16.64-16.89,0.72-0.93,1.07-1.62,0.5-0.7,0.11-0.29,-0.04-0.29,0.23-0.46,0.35-0.72,-0.06-0.14,0.027000000000000003,0.028999999999999998,0.0125,298.629,7.678999999999999,0.0423,0.133,0.0776,16.635,0.7170000000000001,1.07,0.5,0.113,-0.042,0.23399999999999999,0.34600000000000003,-0.057999999999999996,0.0497,0.0906,0.222,299.801,22.303,0.132,0.2,0.20199999999999999,16.894000000000002,0.93,1.62,0.7,0.29,0.28600000000000003,0.45799999999999996,0.716,0.135
Troilus,13,0.03-0.07,0.0-0.08,0.33-0.59,298.63-302.14,17.43-32.05,0.03-0.11,0.07-0.22,0.03-0.23,16.64-18.7,0.72-0.91,1.29-2.17,0.5-0.7,0.11-0.33,0.07-0.23,0.14-0.19,0.72-0.81,-0.16--0.06,0.027000000000000003,0.00412,0.327,298.629,17.428,0.0308,0.0657,0.0276,16.635,0.7170000000000001,1.29,0.5,0.113,0.0673,0.145,0.716,-0.156,0.0723,0.0783,0.588,302.143,32.053000000000004,0.11,0.222,0.226,18.703,0.909,2.17,0.7,0.33399999999999996,0.231,0.18899999999999997,0.809,-0.057999999999999996
TroilusSub,5,0.03-0.05,0.0-0.05,0.43-0.59,299.8-302.14,17.43-22.3,0.03-0.09,0.07-0.18,0.03-0.18,16.64-16.89,0.72-0.78,1.29-2.17,0.5-0.56,0.11-0.24,0.07-0.18,0.14-0.19,0.72-0.81,-0.16--0.06,0.027000000000000003,0.00412,0.431,299.801,17.428,0.0308,0.0657,0.0276,16.635,0.7170000000000001,1.29,0.5,0.113,0.0673,0.145,0.716,-0.156,0.0497,0.0536,0.588,302.143,22.303,0.0873,0.177,0.177,16.894000000000002,0.7809999999999999,2.17,0.56,0.245,0.177,0.18899999999999997,0.809,-0.057999999999999996
1988RY11Sub,5,0.04-0.06,0.04-0.08,0.33-0.54,298.63-300.97,17.43-27.18,0.05-0.11,0.18-0.22,0.18-0.23,17.93-18.19,0.89-0.91,1.29-1.4,0.68-0.7,0.2-0.22,0.07-0.12,-,-,-,0.0383,0.0413,0.327,298.629,17.428,0.0535,0.177,0.177,17.928,0.887,1.29,0.68,0.201,0.0673,,,,0.061,0.0783,0.536,300.972,27.178,0.11,0.222,0.226,18.186,0.909,1.4,0.7,0.223,0.122,,,
Cebriones,17,0.05-0.11,0.0-0.09,0.38-0.59,296.29-299.8,27.18-51.55,0.04-0.13,0.07-0.24,0.08-0.25,16.12-18.96,0.76-0.87,1.18-1.4,0.54-0.64,0.22-0.31,0.18-0.23,0.23-0.28,0.35-0.62,0.23-0.33,0.0497,0.00412,0.379,296.286,27.178,0.0423,0.0657,0.0776,16.118,0.759,1.18,0.54,0.223,0.177,0.23399999999999999,0.34600000000000003,0.231,0.106,0.0906,0.588,299.801,51.553000000000004,0.132,0.244,0.251,18.962,0.866,1.4,0.64,0.312,0.231,0.27899999999999997,0.624,0.32799999999999996
BitiasSub,7,0.08-0.11,0.0-0.09,0.43-0.59,296.29-298.63,32.05-51.55,0.05-0.13,0.11-0.15,0.1-0.15,17.93-18.96,0.84-0.87,1.29-1.4,0.62-0.64,0.22-0.24,0.18-0.23,0.23-0.28,0.35-0.44,-,0.0837,0.00412,0.431,296.286,32.053000000000004,0.0535,0.111,0.102,17.928,0.845,1.29,0.62,0.223,0.177,0.23399999999999999,0.34600000000000003,,0.106,0.0906,0.588,298.629,51.553000000000004,0.132,0.155,0.152,18.962,0.866,1.4,0.64,0.245,0.231,0.27899999999999997,0.439,
Asteropaios,17,0.04-0.07,0.02-0.09,0.01-0.27,297.46-299.8,17.43-32.05,0.04-0.13,0.11-0.27,0.1-0.28,17.41-18.19,0.72-0.89,1.29-1.95,0.5-0.66,0.16-0.29,-0.04-0.29,0.37-0.73,0.62-1.27,1.1-1.2,0.0383,0.0166,0.0125,297.45799999999997,17.428,0.0423,0.111,0.102,17.410999999999998,0.7170000000000001,1.29,0.5,0.157,-0.042,0.369,0.624,1.1,0.0723,0.0906,0.27399999999999997,299.801,32.053000000000004,0.132,0.266,0.276,18.186,0.887,1.95,0.66,0.29,0.28600000000000003,0.727,1.271,1.196
LykaonSub,5,0.05-0.07,0.04-0.07,0.12-0.22,297.46-299.8,17.43-27.18,0.05-0.09,0.11-0.13,0.1-0.13,17.93-18.19,0.78-0.87,1.51-1.73,0.56-0.64,0.24-0.29,0.07-0.23,0.68-0.73,1.18-1.27,1.1-1.2,0.0497,0.0413,0.11800000000000001,297.45799999999997,17.428,0.0535,0.111,0.102,17.928,0.7809999999999999,1.51,0.56,0.245,0.0673,0.6829999999999999,1.178,1.1,0.0723,0.0659,0.222,299.801,27.178,0.0873,0.133,0.127,18.186,0.866,1.73,0.64,0.29,0.231,0.727,1.271,1.196
1988RS10Sub,7,0.05-0.07,0.02-0.07,0.01-0.17,297.46-298.63,22.3-32.05,0.04-0.06,0.11-0.13,0.1-0.13,-,0.72-0.89,1.29-1.95,0.5-0.66,0.18-0.27,0.01-0.29,0.37-0.41,0.81-0.9,-,0.0497,0.0166,0.0125,297.45799999999997,22.303,0.0423,0.111,0.102,,0.7170000000000001,1.29,0.5,0.179,0.0127,0.369,0.809,,0.0723,0.0659,0.17,298.629,32.053000000000004,0.0648,0.133,0.127,,0.887,1.95,0.66,0.267,0.28600000000000003,0.414,0.9009999999999999,
Dolon,20,0.06-0.11,0.0-0.08,0.01-0.48,295.12-297.46,27.18-51.55,0.03-0.14,0.07-0.29,0.08-0.3,17.67-18.7,0.69-0.84,1.51-1.62,0.48-0.64,0.11-0.31,0.01-0.18,0.19-0.46,0.53-0.9,0.62-0.71,0.061,0.00412,0.0125,295.115,27.178,0.0308,0.0657,0.0776,17.669,0.695,1.51,0.48,0.113,0.0127,0.18899999999999997,0.531,0.617,0.106,0.0783,0.483,297.45799999999997,51.553000000000004,0.14400000000000002,0.289,0.301,18.703,0.845,1.62,0.64,0.312,0.177,0.45799999999999996,0.9009999999999999,0.7140000000000001
